SiteID,Month,SetTime,EndTime,Hours,Weather,TrapType,TrapNumber,IsEmpty,IsCompromised,Species,TotalNumber,NumMales,NumFemales,Male1,Male2,Male3,Male4,Male5,Male6,Male7,Male8,Male9,Male10,Female1,Female2,Female3,Female4,Female5,Female6,Female7,Female8,Female9,Female10,Mortalities,Gravid,Notes
3,May,5/11/17 13:00,5/12/17 10:52,21.87,LightRain,Fukui,1,N,N,MEGR,1,0,1,,,,,,,,,,,63,,,,,,,,,,0,0,
3,May,5/11/17 13:00,5/12/17 10:52,21.87,LightRain,Minnow,1,N,N,GAAC,23,,,,,,,,,,,,,,,,,,,,,,,0,0,
3,May,5/11/17 13:00,5/12/17 10:52,21.87,LightRain,Minnow,1,N,N,HEOR,3,3,0,22,20,21,,,,,,,,,,,,,,,,,,0,0,
3,May,5/11/17 13:00,5/12/17 10:52,21.87,LightRain,Minnow,1,N,N,LEAR,4,,,,,,,,,,,,,,,,,,,,,,,0,0,
3,May,5/11/17 13:00,5/12/17 10:52,21.87,LightRain,Fukui,2,N,N,HEOR,1,1,0,21,,,,,,,,,,,,,,,,,,,,0,0,
3,May,5/11/17 13:00,5/12/17 10:52,21.87,LightRain,Minnow,2,N,N,BROK,1,,,,,,,,,,,,,,,,,,,,,,,0,0,
3,May,5/11/17 13:00,5/12/17 10:52,21.87,LightRain,Minnow,2,N,N,GAAC,27,,,,,,,,,,,,,,,,,,,,,,,1,0,1 Mortality
3,May,5/11/17 13:00,5/12/17 10:52,21.87,LightRain,Minnow,2,N,N,HEOR,6,5,1,21,20,22,16,6,,,,,,9,,,,,,,,,,0,0,
3,May,5/11/17 13:00,5/12/17 10:52,21.87,LightRain,Minnow,2,N,N,LEAR,1,,,,,,,,,,,,,,,,,,,,,,,0,0,
3,May,5/11/17 13:00,5/12/17 10:52,21.87,LightRain,Fukui,3,N,N,HEOR,2,0,2,,,,,,,,,,,18,19,,,,,,,,,0,0,
3,May,5/11/17 13:00,5/12/17 10:52,21.87,LightRain,Minnow,3,N,N,GAAC,67,,,,,,,,,,,,,,,,,,,,,,,0,0,
3,May,5/11/17 13:00,5/12/17 10:52,21.87,LightRain,Minnow,3,N,N,HEOR,5,3,2,19,21,14,,,,,,,,12,17,,,,,,,,,0,0,
3,May,5/11/17 13:00,5/12/17 10:52,21.87,LightRain,Minnow,3,N,N,LEAR,5,,,,,,,,,,,,,,,,,,,,,,,0,0,
3,June,6/20/17 11:00,6/21/17 10:46,23.77,Clear,Fukui,1,Y,N,EMPTY,0,,,,,,,,,,,,,,,,,,,,,,,,,
3,June,6/20/17 11:00,6/21/17 10:46,23.77,Clear,Minnow,1,N,N,GAAC,71,,,,,,,,,,,,,,,,,,,,,,,1,0,1 Mortality
3,June,6/20/17 11:00,6/21/17 10:46,23.77,Clear,Minnow,1,N,N,HEOR,20,11,9,17,14,16,16,18,14,18,12,10,9,16,15,12,14,15,14,15,12,13,,0,0,"Verify size, these seem very small relative to photo"
3,June,6/20/17 11:00,6/21/17 10:46,23.77,Clear,Minnow,1,N,N,LEAR,1,,,,,,,,,,,,,,,,,,,,,,,0,0,
3,June,6/20/17 11:00,6/21/17 10:46,23.77,Clear,Fukui,2,Y,N,EMPTY,0,,,,,,,,,,,,,,,,,,,,,,,,,
3,June,6/20/17 11:00,6/21/17 10:46,23.77,Clear,Minnow,2,N,N,GAAC,46,,,,,,,,,,,,,,,,,,,,,,,2,0,2 Mortalities
3,June,6/20/17 11:00,6/21/17 10:46,23.77,Clear,Minnow,2,N,N,HEOR,18,14,4,14,19,18,16,14,20,14,13,16,16,12,15,10,14,,,,,,,0,0,"Verify size, these seem very small relative to photo"
3,June,6/20/17 11:00,6/21/17 10:46,23.77,Clear,Minnow,2,N,N,LEAR,5,,,,,,,,,,,,,,,,,,,,,,,0,0,
3,June,6/20/17 11:00,6/21/17 10:46,23.77,Clear,Minnow,3,N,N,GAAC,54,,,,,,,,,,,,,,,,,,,,,,,3,0,3 Mortalities
3,June,6/20/17 11:00,6/21/17 10:46,23.77,Clear,Minnow,3,N,N,HEOR,16,16,0,21,18,11,16,18,18,20,17,16,16,,,,,,,,,,,0,0,"Verify size, these seem very small relative to photo"
3,June,6/20/17 11:00,6/21/17 10:46,23.77,Clear,Minnow,3,N,N,LEAR,1,,,,,,,,,,,,,,,,,,,,,,,0,0,
3,July,7/11/17 13:30,7/12/17 13:40,24.17,Clear,Fukui,1,Y,N,EMPTY,0,,,,,,,,,,,,,,,,,,,,,,,,,
3,July,7/11/17 13:30,7/12/17 13:40,24.17,Clear,Minnow,1,N,N,CYAG,1,,,,,,,,,,,,,,,,,,,,,,,0,0,
3,July,7/11/17 13:30,7/12/17 13:40,24.17,Clear,Minnow,1,N,N,GAAC,93,,,,,,,,,,,,,,,,,,,,,,,0,0,
3,July,7/11/17 13:30,7/12/17 13:40,24.17,Clear,Minnow,1,N,N,HEOR,3,2,1,10,9,,,,,,,,,11,,,,,,,,,,0,0,"Verify size, these seem very small relative to photo"
3,July,7/11/17 13:30,7/12/17 13:40,24.17,Clear,Fukui,2,Y,N,EMPTY,0,,,,,,,,,,,,,,,,,,,,,,,,,
3,July,7/11/17 13:30,7/12/17 13:40,24.17,Clear,Minnow,2,N,N,GAAC,50,,,,,,,,,,,,,,,,,,,,,,,1,0,1 Mortality
3,July,7/11/17 13:30,7/12/17 13:40,24.17,Clear,Minnow,2,N,N,HEOR,6,4,2,9,16,16,13,,,,,,,17,19,,,,,,,,,0,0,"Verify size, these seem very small relative to photo"
3,July,7/11/17 13:30,7/12/17 13:40,24.17,Clear,Minnow,2,N,N,LEAR,2,,,,,,,,,,,,,,,,,,,,,,,0,0,
3,July,7/11/17 13:30,7/12/17 13:40,24.17,Clear,Fukui,3,N,N,GAAC,1,,,,,,,,,,,,,,,,,,,,,,,1,0,1 Mortality
3,July,7/11/17 13:30,7/12/17 13:40,24.17,Clear,Fukui,3,N,N,HEOR,5,3,2,18,17,14,,,,,,,,21,17,,,,,,,,,0,0,"Verify size, these seem very small relative to photo"
3,July,7/11/17 13:30,7/12/17 13:40,24.17,Clear,Minnow,3,N,N,GAAC,62,,,,,,,,,,,,,,,,,,,,,,,1,0,1 Mortality
3,July,7/11/17 13:30,7/12/17 13:40,24.17,Clear,Minnow,3,N,N,HEOR,2,2,0,21,19,,,,,,,,,,,,,,,,,,,0,0,"Verify size, these seem very small relative to photo"
3,July,7/11/17 13:30,7/12/17 13:40,24.17,Clear,Minnow,3,N,N,LEAR,2,,,,,,,,,,,,,,,,,,,,,,,0,0,
3,August,8/7/17 11:05,8/8/17 11:08,24.05,Clear,Fukui,1,Y,N,EMPTY,0,,,,,,,,,,,,,,,,,,,,,,,,,
3,August,8/7/17 11:05,8/8/17 11:08,24.05,Clear,Minnow,1,N,N,GAAC,47,,,,,,,,,,,,,,,,,,,,,,,6,0,6 Mortalities
3,August,8/7/17 11:05,8/8/17 11:08,24.05,Clear,Minnow,1,N,N,HEOR,16,11,5,15,13,17,10,13,10,8,14,19,15,14,16,15,13,16,,,,,,0,0,"Verify size, these seem very small relative to photo"
3,August,8/7/17 11:05,8/8/17 11:08,24.05,Clear,Fukui,2,Y,N,EMPTY,0,,,,,,,,,,,,,,,,,,,,,,,,,
3,August,8/7/17 11:05,8/8/17 11:08,24.05,Clear,Minnow,2,N,N,GAAC,51,,,,,,,,,,,,,,,,,,,,,,,4,0,4 Dead
